IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
11000,M,M,2,0,Bachelors,Professional,1,0,1-2 Miles,Pacific,1,43,90000
11001,S,M,3,3,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,39,60000
11002,M,M,3,3,Bachelors,Professional,1,1,2-5 Miles,Pacific,1,44,60000
11003,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,42,70000
11004,S,F,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,1,36,80000
11005,S,M,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,39,70000
11006,S,F,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,38,70000
11007,M,M,3,3,Bachelors,Professional,1,2,0-1 Miles,Pacific,1,45,60000
11008,S,F,4,4,Bachelors,Professional,1,3,10+ Miles,Pacific,1,40,60000
11009,S,M,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,45,70000
11010,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,46,70000
11011,M,M,4,4,Bachelors,Professional,1,4,10+ Miles,Pacific,1,46,60000
11012,M,F,2,0,Bachelors,Management,1,2,1-2 Miles,North America,0,36,100000
11013,M,M,2,0,Bachelors,Management,1,3,0-1 Miles,North America,0,36,100000
11014,S,F,3,0,Bachelors,Management,0,3,1-2 Miles,North America,0,41,100000
11015,S,F,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,1,31,30000
11016,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,30,30000
11017,S,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,65,20000
11018,S,M,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,59,30000
11019,S,M,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,0,32,40000
11020,S,M,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,1,31,40000
11021,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,31,40000
11022,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,31,40000
11023,M,M,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,0,31,40000
11024,M,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,31,60000
11025,M,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,64,10000
11026,S,M,2,0,Partial College,Clerical,0,2,1-2 Miles,Pacific,1,63,30000
11027,M,M,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,63,30000
11028,M,F,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,1,63,30000
11029,M,M,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,1,63,30000
11030,M,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,57,10000
11031,M,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,1,62,20000
11032,M,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,1,62,20000
11033,M,M,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,57,20000
11034,M,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,62,20000
11035,M,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,62,10000
11036,M,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,31,60000
11037,S,F,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,1,32,40000
11038,M,F,2,1,Partial High School,Clerical,1,2,5-10 Miles,Pacific,1,62,10000
11039,M,M,3,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,1,61,30000
11040,M,M,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,32,30000
11041,M,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,1,32,60000
11042,M,F,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,North America,1,32,70000
11043,M,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,34,60000
11044,M,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,1,60,20000
11045,S,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,0,59,30000
11046,M,F,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,60,30000
11047,M,F,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,60,30000
11048,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,59,30000
11049,S,F,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,0,29,40000
11050,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,58,30000
11051,S,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,0,58,30000
11052,S,F,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,1,58,40000
11053,M,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,1,29,60000
11054,M,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,58,40000
11055,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,58,40000
11056,M,F,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,56,40000
11057,M,M,2,0,Graduate Degree,Management,1,2,1-2 Miles,Pacific,1,45,70000
11058,M,M,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,Pacific,1,50,80000
11059,S,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,55,80000
11060,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,56,80000
11061,M,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,39,80000
11062,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,34,40000
11063,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,34,40000
11064,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,34,40000
